SOURCE_ID,ra,dec,parallax,phot_g_mean_mag
3836078730804535040,150.32860659168568,2.2408637505328706,0.13764939037443286,20.169269561767578
3836283171247831936,149.922897839168,2.466212039510029,-0.04374136717055874,19.332685470581055
3836283239967306752,149.88029615782344,2.460199360285447,-0.9881192974342308,20.15487289428711
3836309593886632704,149.5299980399873,2.454229496658882,0.07707723040332155,19.825817108154297
3836045333138784768,150.16851450734006,2.0331151758161483,0.4267208110585251,18.76668357849121
3836045333138785280,150.17907924571804,2.036806359006631,,21.422388076782227
3836044233627356288,150.041425217368,2.0030953269723693,1.5580820422172055,12.324222564697266
3836044233627608704,150.0401306147694,2.0035190863510075,1.5930250919433049,18.362442016601562
3836044306641289088,150.03621713602843,2.002932628626832,,20.83170509338379
3836044306641433600,150.02875739142817,2.005948833044337,-0.0031190993743383244,20.017650604248047
3836045268714107008,150.13515731515372,2.02782340307278,1.4097217158934203,15.448321342468262
3836045401858264064,150.15913245285728,2.0431140286430867,-0.1968004969244233,19.575103759765625
3836045401858266240,150.16012286462131,2.050111029495912,2.1775374916980375,20.686134338378906
3836045642376705408,150.07566023847812,2.013350657481351,0.5015086397664021,18.87718963623047
3836045745455920640,150.05890989821552,2.015134809649059,0.09164344376015737,19.554975509643555
3836045814175397632,150.0471662025586,2.0184811881529603,0.24716958642233994,17.331043243408203
3836045814175451776,150.05717995014984,2.0260131607725413,1.6035224102104562,20.436433792114258
3836045848535136256,150.07128056793357,2.020869610789076,0.9551389142097841,19.7648983001709
3836045852829513856,150.0825491994361,2.024911714405131,,20.58810806274414
3836045852829922688,150.07727782287498,2.024201097470887,,20.606151580810547
3836045882894875136,150.0834092732784,2.0255360203037345,0.5898646132048235,18.57951545715332
3836045882894875264,150.0831643350912,2.0294351731975597,0.11371934015360514,18.56674575805664
3836046054693567360,150.11084593052817,2.0340680776212654,1.180273710529522,17.810623168945312
3836046123412862208,150.1455889014194,2.043054747160894,,20.80025291442871
3836046127707565952,150.13369263294953,2.0405965553311582,1.477995922028648,19.304861068725586
3836046192132417664,150.12232128207745,2.05000431710772,1.7249957035587375,20.216379165649414
3836046192132521216,150.11913782615298,2.052379676348097,2.1553262971546605,20.413480758666992
3836046260851997696,150.10323913369794,2.041954968403772,0.543010254371874,17.664844512939453
3836046299506112384,150.10817225538887,2.0558727789490066,,20.798067092895508
3836046398290951680,150.10705526195125,2.0618209174385806,2.48056238460679,18.739410400390625
